event,time,Cost,Duration,Email,Platform,Workspace,Owner,Segments
Outbound Calls,1755057600,0.663686,338.0 seconds,user41a@trioventure1.com,mobile,TrioVenture1,owner41@trioventure1.com,
Outbound Calls,1755144000,1.077471,220.0 seconds,user38@twopersoncorp2.com,mobile,TwoPersonCorp2,owner38@twopersoncorp2.com,
Outbound Calls,1755144000,2.091536,558.0 seconds,owner39@triostartup1.com,pipedrive,TrioStartup1,owner39@triostartup1.com,
Outbound Calls,1755144000,1.311423,380.0 seconds,user44b@threepersonteam2.com,mobile,ThreePersonTeam2,owner44@threepersonteam2.com,
Outbound Calls,1755144000,0.066839,28.0 seconds,user46a@mediumteam1.com,web,MediumTeam1,owner46@mediumteam1.com,
Outbound SMS,1755144000,0.040747,,user40a@threepersonteam1.com,mobile,ThreePersonTeam1,owner40@threepersonteam1.com,4
Outbound SMS,1755144000,0.04279,,user43a@triostartup2.com,mobile,TrioStartup2,owner43@triostartup2.com,3
Outbound SMS,1755144000,0.138212,,user44a@threepersonteam2.com,web,ThreePersonTeam2,owner44@threepersonteam2.com,4
Outbound SMS,1755144000,0.075295,,owner45@growingstartup1.com,slack,GrowingStartup1,owner45@growingstartup1.com,4
Outbound SMS,1755144000,0.015478,,user49e@scalingbusiness1.com,web,ScalingBusiness1,owner49@scalingbusiness1.com,1
Outbound Calls,1755230400,2.674645,546.0 seconds,owner21@soloconsultant3.com,close,SoloConsultant3,owner21@soloconsultant3.com,
Outbound Calls,1755230400,0.662848,228.0 seconds,user34@partnershipbiz1.com,front,PartnershipBiz1,owner34@partnershipbiz1.com,
Outbound Calls,1755230400,1.389499,349.0 seconds,owner38@twopersoncorp2.com,discord,TwoPersonCorp2,owner38@twopersoncorp2.com,
Outbound Calls,1755230400,0.604951,360.0 seconds,user38@twopersoncorp2.com,web,TwoPersonCorp2,owner38@twopersoncorp2.com,
Outbound Calls,1755230400,1.117669,508.0 seconds,user44b@threepersonteam2.com,mobile,ThreePersonTeam2,owner44@threepersonteam2.com,
Outbound Calls,1755230400,0.978713,230.0 seconds,user44b@threepersonteam2.com,web,ThreePersonTeam2,owner44@threepersonteam2.com,
Outbound Calls,1755230400,0.092738,61.0 seconds,user46f@mediumteam1.com,mobile,MediumTeam1,owner46@mediumteam1.com,
Outbound Calls,1755230400,1.795838,460.0 seconds,owner48@growthcompany1.com,asana,GrowthCompany1,owner48@growthcompany1.com,
Outbound Calls,1755230400,0.662997,306.0 seconds,user49e@scalingbusiness1.com,web,ScalingBusiness1,owner49@scalingbusiness1.com,
Outbound SMS,1755230400,0.132013,,owner34@partnershipbiz1.com,mobile,PartnershipBiz1,owner34@partnershipbiz1.com,3
Outbound SMS,1755230400,0.069981,,user46d@mediumteam1.com,asana,MediumTeam1,owner46@mediumteam1.com,4
Outbound Calls,1755316800,0.148647,87.0 seconds,owner19@soloventure2.com,web,SoloVenture2,owner19@soloventure2.com,
Outbound Calls,1755316800,1.082545,390.0 seconds,owner23@independentsales3.com,freshsales,IndependentSales3,owner23@independentsales3.com,
Outbound Calls,1755316800,1.114917,405.0 seconds,owner38@twopersoncorp2.com,discord,TwoPersonCorp2,owner38@twopersoncorp2.com,
Outbound Calls,1755316800,1.721277,524.0 seconds,owner39@triostartup1.com,pipedrive,TrioStartup1,owner39@triostartup1.com,
Outbound Calls,1755316800,0.898996,292.0 seconds,user39a@triostartup1.com,mobile,TrioStartup1,owner39@triostartup1.com,
Outbound Calls,1755316800,1.154179,257.0 seconds,user44a@threepersonteam2.com,web,ThreePersonTeam2,owner44@threepersonteam2.com,
Outbound Calls,1755316800,0.941728,217.0 seconds,user44a@threepersonteam2.com,web,ThreePersonTeam2,owner44@threepersonteam2.com,
Outbound Calls,1755316800,1.528739,343.0 seconds,owner45@growingstartup1.com,mobile,GrowingStartup1,owner45@growingstartup1.com,
Outbound Calls,1755316800,0.335676,189.0 seconds,user46d@mediumteam1.com,web,MediumTeam1,owner46@mediumteam1.com,
Outbound Calls,1755316800,0.253625,139.0 seconds,user48f@growthcompany1.com,freshsales,GrowthCompany1,owner48@growthcompany1.com,
Outbound Calls,1755316800,1.101432,521.0 seconds,user50c@largerteam1.com,mobile,LargerTeam1,owner50@largerteam1.com,
Outbound SMS,1755316800,0.011812,,owner25@selfemployed3.com,mobile,SelfEmployed3,owner25@selfemployed3.com,1
Outbound SMS,1755316800,0.108362,,user44b@threepersonteam2.com,mobile,ThreePersonTeam2,owner44@threepersonteam2.com,3
Outbound SMS,1755316800,0.073009,,user46f@mediumteam1.com,web,MediumTeam1,owner46@mediumteam1.com,2
Outbound Calls,1755403200,0.321285,156.0 seconds,owner1@soloconsultant1.com,insightly,SoloConsultant1,owner1@soloconsultant1.com,
Outbound Calls,1755403200,1.979164,437.0 seconds,owner28@individualbiz3.com,activecampaign,IndividualBiz3,owner28@individualbiz3.com,
Outbound Calls,1755403200,1.28863,426.0 seconds,owner44@threepersonteam2.com,web,ThreePersonTeam2,owner44@threepersonteam2.com,
Outbound Calls,1755403200,0.611183,204.0 seconds,user44a@threepersonteam2.com,web,ThreePersonTeam2,owner44@threepersonteam2.com,
Outbound Calls,1755403200,1.171347,571.0 seconds,user44b@threepersonteam2.com,web,ThreePersonTeam2,owner44@threepersonteam2.com,
Outbound Calls,1755403200,0.889394,361.0 seconds,user44b@threepersonteam2.com,mobile,ThreePersonTeam2,owner44@threepersonteam2.com,
Outbound Calls,1755403200,1.225249,378.0 seconds,user44b@threepersonteam2.com,mobile,ThreePersonTeam2,owner44@threepersonteam2.com,
Outbound Calls,1755403200,0.364387,317.0 seconds,user45d@growingstartup1.com,web,GrowingStartup1,owner45@growingstartup1.com,
Outbound Calls,1755403200,1.50228,347.0 seconds,user50f@largerteam1.com,mobile,LargerTeam1,owner50@largerteam1.com,
Outbound Calls,1755403200,1.855148,372.0 seconds,user50i@largerteam1.com,mobile,LargerTeam1,owner50@largerteam1.com,
Outbound SMS,1755403200,0.039844,,owner17@oneperson2.com,web,OnePerson2,owner17@oneperson2.com,1
Outbound SMS,1755403200,0.041161,,owner44@threepersonteam2.com,web,ThreePersonTeam2,owner44@threepersonteam2.com,3
Outbound SMS,1755403200,0.089461,,user44b@threepersonteam2.com,mobile,ThreePersonTeam2,owner44@threepersonteam2.com,2
Outbound SMS,1755403200,0.046392,,user50f@largerteam1.com,activecampaign,LargerTeam1,owner50@largerteam1.com,1
Outbound SMS,1755403200,0.049571,,user50h@largerteam1.com,mobile,LargerTeam1,owner50@largerteam1.com,2
Outbound Calls,1755489600,1.579228,531.0 seconds,owner1@soloconsultant1.com,web,SoloConsultant1,owner1@soloconsultant1.com,
Outbound Calls,1755489600,0.122726,54.0 seconds,owner13@independentsales2.com,asana,IndependentSales2,owner13@independentsales2.com,
Outbound Calls,1755489600,1.46716,330.0 seconds,owner25@selfemployed3.com,web,SelfEmployed3,owner25@selfemployed3.com,
Outbound Calls,1755489600,0.48631,421.0 seconds,user39a@triostartup1.com,web,TrioStartup1,owner39@triostartup1.com,
Outbound Calls,1755489600,2.466462,546.0 seconds,user39a@triostartup1.com,web,TrioStartup1,owner39@triostartup1.com,
Outbound Calls,1755489600,2.537115,595.0 seconds,owner40@threepersonteam1.com,web,ThreePersonTeam1,owner40@threepersonteam1.com,
Outbound Calls,1755489600,2.508136,584.0 seconds,owner42@smallcorp1.com,mobile,SmallCorp1,owner42@smallcorp1.com,
Outbound Calls,1755489600,1.066503,233.0 seconds,user44a@threepersonteam2.com,mobile,ThreePersonTeam2,owner44@threepersonteam2.com,
Outbound Calls,1755489600,0.566485,225.0 seconds,user44b@threepersonteam2.com,notion,ThreePersonTeam2,owner44@threepersonteam2.com,
Outbound Calls,1755489600,0.439135,159.0 seconds,owner46@mediumteam1.com,mobile,MediumTeam1,owner46@mediumteam1.com,
Outbound Calls,1755489600,0.074812,21.0 seconds,user46d@mediumteam1.com,web,MediumTeam1,owner46@mediumteam1.com,
Outbound Calls,1755489600,0.20824,82.0 seconds,user49a@scalingbusiness1.com,activecampaign,ScalingBusiness1,owner49@scalingbusiness1.com,
Outbound Calls,1755489600,1.201674,455.0 seconds,user50f@largerteam1.com,mobile,LargerTeam1,owner50@largerteam1.com,
Outbound SMS,1755489600,0.038851,,owner9@soloventure1.com,web,SoloVenture1,owner9@soloventure1.com,1
Outbound SMS,1755489600,0.143698,,owner23@independentsales3.com,web,IndependentSales3,owner23@independentsales3.com,3
Outbound SMS,1755489600,0.088897,,user44a@threepersonteam2.com,mobile,ThreePersonTeam2,owner44@threepersonteam2.com,3
Outbound Calls,1755576000,0.546119,467.0 seconds,owner23@independentsales3.com,freshsales,IndependentSales3,owner23@independentsales3.com,
Outbound Calls,1755576000,0.695443,246.0 seconds,owner41@trioventure1.com,mobile,TrioVenture1,owner41@trioventure1.com,
Outbound Calls,1755576000,1.029158,245.0 seconds,owner44@threepersonteam2.com,web,ThreePersonTeam2,owner44@threepersonteam2.com,
Outbound Calls,1755576000,0.907111,595.0 seconds,user44b@threepersonteam2.com,web,ThreePersonTeam2,owner44@threepersonteam2.com,
Outbound Calls,1755576000,0.536188,171.0 seconds,user45d@growingstartup1.com,mobile,GrowingStartup1,owner45@growingstartup1.com,
Outbound Calls,1755576000,1.250978,251.0 seconds,user46a@mediumteam1.com,mobile,MediumTeam1,owner46@mediumteam1.com,
Outbound Calls,1755576000,0.898083,250.0 seconds,user50e@largerteam1.com,web,LargerTeam1,owner50@largerteam1.com,
Outbound SMS,1755576000,0.038033,,owner44@threepersonteam2.com,mobile,ThreePersonTeam2,owner44@threepersonteam2.com,1
Outbound SMS,1755576000,0.030099,,user44a@threepersonteam2.com,mobile,ThreePersonTeam2,owner44@threepersonteam2.com,1
Outbound SMS,1755576000,0.196241,,user44a@threepersonteam2.com,web,ThreePersonTeam2,owner44@threepersonteam2.com,4
Outbound Calls,1755662400,0.726718,499.0 seconds,owner10@freelancepro1.com,mobile,FreelancePro1,owner10@freelancepro1.com,
Outbound Calls,1755662400,0.68762,162.0 seconds,owner10@freelancepro1.com,web,FreelancePro1,owner10@freelancepro1.com,
Outbound Calls,1755662400,0.702616,247.0 seconds,owner13@independentsales2.com,web,IndependentSales2,owner13@independentsales2.com,
Outbound Calls,1755662400,1.492439,584.0 seconds,user41b@trioventure1.com,salesforce,TrioVenture1,owner41@trioventure1.com,
Outbound Calls,1755662400,0.961982,391.0 seconds,user44b@threepersonteam2.com,mobile,ThreePersonTeam2,owner44@threepersonteam2.com,
Outbound Calls,1755662400,1.869835,470.0 seconds,user44b@threepersonteam2.com,slack,ThreePersonTeam2,owner44@threepersonteam2.com,
Outbound Calls,1755662400,0.548752,118.0 seconds,user48b@growthcompany1.com,web,GrowthCompany1,owner48@growthcompany1.com,
Outbound SMS,1755662400,0.045495,,user50i@largerteam1.com,mobile,LargerTeam1,owner50@largerteam1.com,1
Outbound Calls,1755748800,1.660607,391.0 seconds,owner17@oneperson2.com,web,OnePerson2,owner17@oneperson2.com,
Outbound Calls,1755748800,0.558907,202.0 seconds,user39a@triostartup1.com,web,TrioStartup1,owner39@triostartup1.com,
Outbound Calls,1755748800,1.714126,358.0 seconds,owner44@threepersonteam2.com,mobile,ThreePersonTeam2,owner44@threepersonteam2.com,
Outbound Calls,1755748800,0.332509,210.0 seconds,user44b@threepersonteam2.com,mobile,ThreePersonTeam2,owner44@threepersonteam2.com,
Outbound Calls,1755748800,0.58209,417.0 seconds,user44b@threepersonteam2.com,slack,ThreePersonTeam2,owner44@threepersonteam2.com,
Outbound Calls,1755748800,0.076555,54.0 seconds,user48g@growthcompany1.com,mobile,GrowthCompany1,owner48@growthcompany1.com,
Outbound SMS,1755748800,0.051779,,owner11@soloconsultant2.com,mobile,SoloConsultant2,owner11@soloconsultant2.com,3
Outbound SMS,1755748800,0.10262,,user31@startupduo1.com,web,StartupDuo1,owner31@startupduo1.com,3
Outbound SMS,1755748800,0.025243,,user44b@threepersonteam2.com,mobile,ThreePersonTeam2,owner44@threepersonteam2.com,1
Outbound SMS,1755748800,0.068739,,user46c@mediumteam1.com,nutshell,MediumTeam1,owner46@mediumteam1.com,3
Outbound SMS,1755748800,0.148559,,owner48@growthcompany1.com,mobile,GrowthCompany1,owner48@growthcompany1.com,4
Outbound SMS,1755748800,0.046757,,user49d@scalingbusiness1.com,mobile,ScalingBusiness1,owner49@scalingbusiness1.com,4
Outbound SMS,1755748800,0.090472,,user50e@largerteam1.com,mobile,LargerTeam1,owner50@largerteam1.com,2
Outbound Calls,1755835200,1.395742,423.0 seconds,owner44@threepersonteam2.com,salesforce,ThreePersonTeam2,owner44@threepersonteam2.com,
Outbound Calls,1755835200,1.288059,396.0 seconds,owner44@threepersonteam2.com,mobile,ThreePersonTeam2,owner44@threepersonteam2.com,
Outbound Calls,1755835200,0.262035,129.0 seconds,owner44@threepersonteam2.com,salesforce,ThreePersonTeam2,owner44@threepersonteam2.com,
Outbound Calls,1755835200,0.695562,169.0 seconds,user44a@threepersonteam2.com,mobile,ThreePersonTeam2,owner44@threepersonteam2.com,
Outbound Calls,1755835200,1.205876,286.0 seconds,user44b@threepersonteam2.com,slack,ThreePersonTeam2,owner44@threepersonteam2.com,
Outbound Calls,1755835200,0.468005,205.0 seconds,owner46@mediumteam1.com,mobile,MediumTeam1,owner46@mediumteam1.com,
Outbound SMS,1755835200,0.031029,,user44a@threepersonteam2.com,web,ThreePersonTeam2,owner44@threepersonteam2.com,1
Outbound SMS,1755835200,0.01648,,user44b@threepersonteam2.com,web,ThreePersonTeam2,owner44@threepersonteam2.com,1
Outbound Calls,1755921600,0.665017,513.0 seconds,owner10@freelancepro1.com,mobile,FreelancePro1,owner10@freelancepro1.com,
Outbound Calls,1755921600,1.790755,369.0 seconds,user34@partnershipbiz1.com,mobile,PartnershipBiz1,owner34@partnershipbiz1.com,
Outbound Calls,1755921600,1.982147,600.0 seconds,user44b@threepersonteam2.com,slack,ThreePersonTeam2,owner44@threepersonteam2.com,
Outbound Calls,1755921600,1.339911,488.0 seconds,user50i@largerteam1.com,web,LargerTeam1,owner50@largerteam1.com,
Outbound SMS,1755921600,0.041569,,owner19@soloventure2.com,mobile,SoloVenture2,owner19@soloventure2.com,1
Outbound SMS,1755921600,0.032182,,owner44@threepersonteam2.com,salesforce,ThreePersonTeam2,owner44@threepersonteam2.com,1
Outbound SMS,1755921600,0.069011,,user44b@threepersonteam2.com,mobile,ThreePersonTeam2,owner44@threepersonteam2.com,3
Outbound SMS,1755921600,0.141004,,user44b@threepersonteam2.com,notion,ThreePersonTeam2,owner44@threepersonteam2.com,4
Outbound SMS,1755921600,0.039385,,user45d@growingstartup1.com,web,GrowingStartup1,owner45@growingstartup1.com,2
Outbound Calls,1756008000,2.237951,486.0 seconds,owner13@independentsales2.com,web,IndependentSales2,owner13@independentsales2.com,
Outbound Calls,1756008000,1.218948,323.0 seconds,user42a@smallcorp1.com,mobile,SmallCorp1,owner42@smallcorp1.com,
Outbound Calls,1756008000,0.510356,190.0 seconds,user44b@threepersonteam2.com,web,ThreePersonTeam2,owner44@threepersonteam2.com,
Outbound Calls,1756008000,0.895599,507.0 seconds,user45c@growingstartup1.com,web,GrowingStartup1,owner45@growingstartup1.com,
Outbound Calls,1756008000,1.21385,539.0 seconds,user50i@largerteam1.com,mobile,LargerTeam1,owner50@largerteam1.com,
Outbound SMS,1756008000,0.136523,,user44b@threepersonteam2.com,mobile,ThreePersonTeam2,owner44@threepersonteam2.com,3
Outbound SMS,1756008000,0.01941,,user47a@expandingcorp1.com,mobile,ExpandingCorp1,owner47@expandingcorp1.com,1
Outbound Calls,1756094400,0.577123,342.0 seconds,owner19@soloventure2.com,web,SoloVenture2,owner19@soloventure2.com,
Outbound Calls,1756094400,0.019613,19.0 seconds,user34@partnershipbiz1.com,mobile,PartnershipBiz1,owner34@partnershipbiz1.com,
Outbound Calls,1756094400,0.820677,405.0 seconds,owner42@smallcorp1.com,web,SmallCorp1,owner42@smallcorp1.com,
Outbound Calls,1756094400,2.38145,560.0 seconds,owner44@threepersonteam2.com,mobile,ThreePersonTeam2,owner44@threepersonteam2.com,
Outbound Calls,1756094400,1.784935,479.0 seconds,owner44@threepersonteam2.com,mobile,ThreePersonTeam2,owner44@threepersonteam2.com,
Outbound Calls,1756094400,0.640013,431.0 seconds,user44b@threepersonteam2.com,web,ThreePersonTeam2,owner44@threepersonteam2.com,
Outbound SMS,1756094400,0.130185,,user42b@smallcorp1.com,web,SmallCorp1,owner42@smallcorp1.com,3
Outbound SMS,1756094400,0.099391,,user44a@threepersonteam2.com,web,ThreePersonTeam2,owner44@threepersonteam2.com,4
Outbound SMS,1756094400,0.075535,,user44a@threepersonteam2.com,mobile,ThreePersonTeam2,owner44@threepersonteam2.com,4
Outbound SMS,1756180800,0.121058,,owner35@duoventure1.com,web,DuoVenture1,owner35@duoventure1.com,4
Outbound SMS,1756180800,0.026947,,user43b@triostartup2.com,web,TrioStartup2,owner43@triostartup2.com,2
Outbound SMS,1756180800,0.021713,,user46c@mediumteam1.com,nutshell,MediumTeam1,owner46@mediumteam1.com,1
Outbound Calls,1756267200,0.070928,59.0 seconds,owner25@selfemployed3.com,mobile,SelfEmployed3,owner25@selfemployed3.com,
Outbound Calls,1756267200,0.533328,130.0 seconds,user33@twopersoncorp1.com,mobile,TwoPersonCorp1,owner33@twopersoncorp1.com,
Outbound Calls,1756267200,0.738941,509.0 seconds,owner41@trioventure1.com,mobile,TrioVenture1,owner41@trioventure1.com,
Outbound Calls,1756353600,0.680543,254.0 seconds,owner21@soloconsultant3.com,web,SoloConsultant3,owner21@soloconsultant3.com,
Outbound Calls,1756353600,0.569145,515.0 seconds,owner23@independentsales3.com,freshsales,IndependentSales3,owner23@independentsales3.com,
Outbound Calls,1756353600,0.415539,89.0 seconds,owner28@individualbiz3.com,mobile,IndividualBiz3,owner28@individualbiz3.com,
Outbound Calls,1756353600,1.499135,552.0 seconds,user43a@triostartup2.com,web,TrioStartup2,owner43@triostartup2.com,
Outbound Calls,1756353600,0.959266,450.0 seconds,user50i@largerteam1.com,mobile,LargerTeam1,owner50@largerteam1.com,
Outbound SMS,1756353600,0.035461,,user46a@mediumteam1.com,web,MediumTeam1,owner46@mediumteam1.com,2
Outbound SMS,1756353600,0.049267,,user50a@largerteam1.com,asana,LargerTeam1,owner50@largerteam1.com,3
Outbound Calls,1756440000,2.229048,574.0 seconds,owner17@oneperson2.com,monday,OnePerson2,owner17@oneperson2.com,
Outbound Calls,1756440000,0.956848,226.0 seconds,owner39@triostartup1.com,web,TrioStartup1,owner39@triostartup1.com,
Outbound Calls,1756440000,0.130755,32.0 seconds,user45d@growingstartup1.com,mobile,GrowingStartup1,owner45@growingstartup1.com,
Outbound Calls,1756440000,1.236231,401.0 seconds,user46a@mediumteam1.com,teams,MediumTeam1,owner46@mediumteam1.com,
Outbound Calls,1756440000,1.44598,348.0 seconds,user46f@mediumteam1.com,web,MediumTeam1,owner46@mediumteam1.com,
Outbound Calls,1756440000,2.22343,474.0 seconds,user48b@growthcompany1.com,web,GrowthCompany1,owner48@growthcompany1.com,
Outbound Calls,1756440000,1.01294,344.0 seconds,user49b@scalingbusiness1.com,mobile,ScalingBusiness1,owner49@scalingbusiness1.com,
Outbound SMS,1756440000,0.07614,,user50b@largerteam1.com,mobile,LargerTeam1,owner50@largerteam1.com,4
Outbound Calls,1756526400,1.444881,351.0 seconds,owner19@soloventure2.com,activecampaign,SoloVenture2,owner19@soloventure2.com,
Outbound Calls,1756526400,2.202794,557.0 seconds,owner28@individualbiz3.com,salesmate,IndividualBiz3,owner28@individualbiz3.com,
Outbound Calls,1756526400,1.481313,581.0 seconds,user46b@mediumteam1.com,web,MediumTeam1,owner46@mediumteam1.com,
Outbound Calls,1756526400,0.859307,302.0 seconds,user46b@mediumteam1.com,mobile,MediumTeam1,owner46@mediumteam1.com,
Outbound Calls,1756526400,0.981738,258.0 seconds,user48d@growthcompany1.com,insightly,GrowthCompany1,owner48@growthcompany1.com,
Outbound Calls,1756526400,1.931547,491.0 seconds,owner49@scalingbusiness1.com,hubspot,ScalingBusiness1,owner49@scalingbusiness1.com,
Outbound Calls,1756526400,0.658489,251.0 seconds,user50f@largerteam1.com,activecampaign,LargerTeam1,owner50@largerteam1.com,
Outbound Calls,1756612800,2.246948,493.0 seconds,user40a@threepersonteam1.com,web,ThreePersonTeam1,owner40@threepersonteam1.com,
Outbound Calls,1756699200,1.563366,373.0 seconds,owner9@soloventure1.com,web,SoloVenture1,owner9@soloventure1.com,
Outbound Calls,1756699200,1.142615,498.0 seconds,owner28@individualbiz3.com,web,IndividualBiz3,owner28@individualbiz3.com,
Outbound Calls,1756699200,1.164212,529.0 seconds,owner40@threepersonteam1.com,teams,ThreePersonTeam1,owner40@threepersonteam1.com,
Outbound Calls,1756785600,0.144925,38.0 seconds,user37@smallteam2.com,intercom,SmallTeam2,owner37@smallteam2.com,
Outbound Calls,1756785600,0.375219,225.0 seconds,owner45@growingstartup1.com,hubspot,GrowingStartup1,owner45@growingstartup1.com,
Outbound Calls,1756785600,0.607315,263.0 seconds,owner49@scalingbusiness1.com,hubspot,ScalingBusiness1,owner49@scalingbusiness1.com,
Outbound Calls,1756785600,0.843088,241.0 seconds,user50e@largerteam1.com,mobile,LargerTeam1,owner50@largerteam1.com,
Outbound SMS,1756785600,0.040946,,user41b@trioventure1.com,mobile,TrioVenture1,owner41@trioventure1.com,1
Outbound Calls,1756872000,0.676514,249.0 seconds,user34@partnershipbiz1.com,mobile,PartnershipBiz1,owner34@partnershipbiz1.com,
Outbound Calls,1756872000,2.314952,517.0 seconds,user41a@trioventure1.com,mobile,TrioVenture1,owner41@trioventure1.com,
Outbound Calls,1756872000,0.016462,16.0 seconds,user48e@growthcompany1.com,web,GrowthCompany1,owner48@growthcompany1.com,
Outbound Calls,1756872000,0.971403,250.0 seconds,user48g@growthcompany1.com,web,GrowthCompany1,owner48@growthcompany1.com,
Outbound Calls,1756872000,1.396758,513.0 seconds,user50d@largerteam1.com,salesmate,LargerTeam1,owner50@largerteam1.com,
Outbound SMS,1756872000,0.063836,,user46f@mediumteam1.com,web,MediumTeam1,owner46@mediumteam1.com,2
Outbound SMS,1756872000,0.046804,,user50a@largerteam1.com,web,LargerTeam1,owner50@largerteam1.com,1
Outbound Calls,1756958400,0.941922,285.0 seconds,owner11@soloconsultant2.com,web,SoloConsultant2,owner11@soloconsultant2.com,
Outbound Calls,1756958400,0.804682,481.0 seconds,owner31@startupduo1.com,mobile,StartupDuo1,owner31@startupduo1.com,
Outbound Calls,1756958400,0.692847,159.0 seconds,user41b@trioventure1.com,salesforce,TrioVenture1,owner41@trioventure1.com,
Outbound Calls,1756958400,0.706073,412.0 seconds,user48b@growthcompany1.com,web,GrowthCompany1,owner48@growthcompany1.com,
Outbound Calls,1756958400,0.496517,157.0 seconds,user48b@growthcompany1.com,web,GrowthCompany1,owner48@growthcompany1.com,
Outbound SMS,1756958400,0.103331,,user46c@mediumteam1.com,nutshell,MediumTeam1,owner46@mediumteam1.com,3
Outbound Calls,1757044800,0.60251,579.0 seconds,owner9@soloventure1.com,mobile,SoloVenture1,owner9@soloventure1.com,
Outbound Calls,1757044800,0.572518,212.0 seconds,owner11@soloconsultant2.com,mobile,SoloConsultant2,owner11@soloconsultant2.com,
Outbound Calls,1757044800,1.875398,596.0 seconds,owner28@individualbiz3.com,web,IndividualBiz3,owner28@individualbiz3.com,
Outbound Calls,1757044800,1.091118,497.0 seconds,owner39@triostartup1.com,web,TrioStartup1,owner39@triostartup1.com,
Outbound Calls,1757044800,0.422644,391.0 seconds,user39a@triostartup1.com,mobile,TrioStartup1,owner39@triostartup1.com,
Outbound Calls,1757044800,0.444816,174.0 seconds,user43b@triostartup2.com,pipedrive,TrioStartup2,owner43@triostartup2.com,
Outbound Calls,1757044800,0.325235,68.0 seconds,user43b@triostartup2.com,pipedrive,TrioStartup2,owner43@triostartup2.com,
Outbound Calls,1757044800,0.920744,463.0 seconds,user45a@growingstartup1.com,mobile,GrowingStartup1,owner45@growingstartup1.com,
Outbound Calls,1757044800,0.341323,104.0 seconds,user45d@growingstartup1.com,mobile,GrowingStartup1,owner45@growingstartup1.com,
Outbound Calls,1757044800,1.585758,442.0 seconds,user50f@largerteam1.com,mobile,LargerTeam1,owner50@largerteam1.com,
Outbound SMS,1757044800,0.057065,,owner13@independentsales2.com,mobile,IndependentSales2,owner13@independentsales2.com,4
Outbound SMS,1757044800,0.033495,,user34@partnershipbiz1.com,front,PartnershipBiz1,owner34@partnershipbiz1.com,1
Outbound SMS,1757044800,0.032754,,user50d@largerteam1.com,salesmate,LargerTeam1,owner50@largerteam1.com,1
Outbound Calls,1757131200,0.314084,255.0 seconds,owner2@freelanceexpert1.com,pipedrive,FreelanceExpert1,owner2@freelanceexpert1.com,
Outbound Calls,1757131200,1.936104,420.0 seconds,owner4@personalbrand1.com,web,PersonalBrand1,owner4@personalbrand1.com,
Outbound Calls,1757131200,0.420018,265.0 seconds,user33@twopersoncorp1.com,web,TwoPersonCorp1,owner33@twopersoncorp1.com,
Outbound Calls,1757131200,1.72137,376.0 seconds,owner41@trioventure1.com,mobile,TrioVenture1,owner41@trioventure1.com,
Outbound Calls,1757131200,0.032733,22.0 seconds,user45a@growingstartup1.com,mobile,GrowingStartup1,owner45@growingstartup1.com,
Outbound Calls,1757131200,1.936211,506.0 seconds,user45c@growingstartup1.com,web,GrowingStartup1,owner45@growingstartup1.com,
Outbound Calls,1757131200,0.244388,65.0 seconds,user46b@mediumteam1.com,mobile,MediumTeam1,owner46@mediumteam1.com,
Outbound Calls,1757131200,0.540923,308.0 seconds,user49b@scalingbusiness1.com,web,ScalingBusiness1,owner49@scalingbusiness1.com,
Outbound Calls,1757131200,0.99755,463.0 seconds,user49d@scalingbusiness1.com,mobile,ScalingBusiness1,owner49@scalingbusiness1.com,
Outbound Calls,1757131200,0.836658,542.0 seconds,user50b@largerteam1.com,web,LargerTeam1,owner50@largerteam1.com,
Outbound SMS,1757131200,0.114343,,owner9@soloventure1.com,mobile,SoloVenture1,owner9@soloventure1.com,3
Outbound SMS,1757131200,0.047316,,user48b@growthcompany1.com,web,GrowthCompany1,owner48@growthcompany1.com,1
Outbound Calls,1757217600,1.885451,526.0 seconds,owner19@soloventure2.com,activecampaign,SoloVenture2,owner19@soloventure2.com,
Outbound Calls,1757217600,0.749344,307.0 seconds,owner41@trioventure1.com,web,TrioVenture1,owner41@trioventure1.com,
Outbound Calls,1757217600,2.264791,468.0 seconds,user45d@growingstartup1.com,mobile,GrowingStartup1,owner45@growingstartup1.com,
Outbound Calls,1757217600,0.899625,230.0 seconds,user49d@scalingbusiness1.com,web,ScalingBusiness1,owner49@scalingbusiness1.com,
Outbound SMS,1757217600,0.071112,,user49c@scalingbusiness1.com,web,ScalingBusiness1,owner49@scalingbusiness1.com,4
Outbound SMS,1757217600,0.050817,,user50g@largerteam1.com,web,LargerTeam1,owner50@largerteam1.com,3
Outbound Calls,1757304000,1.912605,443.0 seconds,owner5@selfemployed1.com,web,SelfEmployed1,owner5@selfemployed1.com,
Outbound Calls,1757304000,1.433651,351.0 seconds,owner5@selfemployed1.com,web,SelfEmployed1,owner5@selfemployed1.com,
Outbound Calls,1757304000,0.516451,115.0 seconds,owner10@freelancepro1.com,freshsales,FreelancePro1,owner10@freelancepro1.com,
Outbound Calls,1757304000,0.093602,40.0 seconds,user35@duoventure1.com,web,DuoVenture1,owner35@duoventure1.com,
Outbound Calls,1757304000,0.081062,48.0 seconds,user39a@triostartup1.com,mobile,TrioStartup1,owner39@triostartup1.com,
Outbound Calls,1757304000,1.21077,552.0 seconds,user40a@threepersonteam1.com,mobile,ThreePersonTeam1,owner40@threepersonteam1.com,
